,MeasDateTime,UTC_datetime,downward looking clear solar  Bunker; downlooking Eppley Lab precision spectral pyranometer; (Watts/meter^2),upward looking solar radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),upward looking diffuse radiation; uplooking Sunshine pyranometer  direct and diffuse; (Watts/meter^2),solarAltitude,solarAzimuth,bin_assignment,M_planar,Albedo_planar,raster_meanM,raster_meanALPHA,maskedmeanM,maskedAlbedo,viz_percent
510,2019-06-18 08:30:00,2019-06-18 16:30:00+00:00,376.3,721.4,60.2,46.197133410850384,92.54581225478925,8,1.0048300461197046,0.5193255726255479,0.9998745322227478,0.5216846112936098,1.0001250705045124,0.5215648299871216,2.17
525,2019-06-18 08:45:00,2019-06-18 16:45:00+00:00,403.6,780.4,58.8,43.23639715894214,95.03412835458066,9,1.0017472413908788,0.5163364916761971,0.9998546838760376,0.517240181784945,1.0002325699792654,0.5170594897300314,2.1100000000000003
540,2019-06-18 09:00:00,2019-06-18 17:00:00+00:00,426.5,825.9,64.9,40.287276521335414,97.69272302989127,9,0.9990493720538964,0.5168590752613489,0.9998381733894348,0.5164833574907735,1.0001590150094348,0.5163306920994849,2.2633333333333336
555,2019-06-18 09:15:00,2019-06-18 17:15:00+00:00,457.8,881.9,80.3,37.35730779401845,100.56822237099982,9,0.9966756578847875,0.5206797864411761,0.9998246431350708,0.5191892282409889,1.0000898027753498,0.5190641055683783,2.3833333333333337
570,2019-06-18 09:30:00,2019-06-18 17:30:00+00:00,480.1,927.8,94.1,34.45598576362319,103.72081634736406,9,0.9945781520003502,0.5199940443105459,0.9998136162757874,0.5175473385462661,1.0000315073374155,0.5174460098085996,2.466666666666667
585,2019-06-18 09:45:00,2019-06-18 17:45:00+00:00,497.1,955.9,100.0,31.595646306693475,107.22934885894703,10,0.9927186320127731,0.5234461562469567,0.9998047947883606,0.5201243857882952,0.9999849044065424,0.5200405053760135,2.493333333333333
600,2019-06-18 10:00:00,2019-06-18 18:00:00+00:00,504.9,972.0,88.8,28.79278904644226,111.19836039628821,10,0.9910663675509916,0.5236955289891195,0.9997978806495667,0.5195398600832797,0.9999294911935432,0.5194777259595884,2.62
615,2019-06-18 10:15:00,2019-06-18 18:15:00+00:00,518.1,997.2,89.3,26.0700796334703,115.76749492401235,10,0.9895964912345174,0.5245229649856777,0.9997928142547607,0.5196527765079293,0.9998935875233499,0.5196050942929609,2.6766666666666667
630,2019-06-18 10:30:00,2019-06-18 18:30:00+00:00,532.5,1019.3,86.5,23.459381001616464,121.12294418194776,11,0.9882887953491702,0.528076939349,0.9997893571853638,0.5225180695875504,0.9998509809908264,0.5224885985401589,2.7933333333333334
645,2019-06-18 10:45:00,2019-06-18 18:45:00+00:00,560.0,1067.4,109.2,21.00622690074661,127.50796292275682,11,0.9871268330245367,0.5307730200592827,0.9997873902320862,0.5247394616162827,0.999822927075763,0.5247227191055827,2.8666666666666667
660,2019-06-18 11:00:00,2019-06-18 19:00:00+00:00,556.5,1053.1,81.5,18.775928767236806,135.22203340712102,12,0.9860972414969467,0.5353061174595402,0.9997867941856384,0.5285438118480659,0.9998143047367761,0.5285303943176517,2.9066666666666667
675,2019-06-18 11:15:00,2019-06-18 19:15:00+00:00,530.0,989.1,102.2,16.860248589835294,144.58159930677556,13,0.9851892317173142,0.5430526341180357,0.9997875690460205,0.535942750278919,0.9997994065419734,0.5359370605599048,2.9433333333333334
690,2019-06-18 11:30:00,2019-06-18 19:30:00+00:00,603.8,1136.2,143.4,15.379784053098774,155.79280966624233,14,0.9843942039453021,0.5387672549551903,0.9997897744178772,0.5315181607076196,0.999791009085519,0.5315175871798202,2.9866666666666664
705,2019-06-18 11:45:00,2019-06-18 19:45:00+00:00,595.2,1113.8,130.4,14.470637338734932,168.7051148478632,15,0.9837054611701909,0.5421871372941817,0.9997931122779846,0.5344844161107299,0.9997930908203125,0.5344844262386437,3.0
720,2019-06-18 12:00:00,2019-06-18 20:00:00+00:00,604.7,1117.8,135.7,14.243718458322832,182.57963220609804,16,0.9831180014411568,0.5491181563160952,0.9997978806495667,0.5410694248040157,0.9997985022408622,0.5410691292571106,2.9866666666666664
735,2019-06-18 12:15:00,2019-06-18 20:15:00+00:00,547.3,998.7,141.6,14.730836618956232,196.2236912670091,17,0.9826283753594356,0.5563061625634986,0.999803900718689,0.5481046596767506,0.9998061155441508,0.5481036176671573,2.9633333333333334
750,2019-06-18 12:30:00,2019-06-18 20:30:00+00:00,139.5,252.4,146.0,15.865852849560156,208.5615146937902,18,0.9822346007097641,0.5568645275779326,0.9998111724853516,0.5527381347016616,0.9998209497950099,0.5527358563337395,2.96
765,2019-06-18 12:45:00,2019-06-18 20:45:00+00:00,587.6,1060.3,146.5,17.52218640646865,219.0827941319368,19,0.9819361305933175,0.5629467404628224,0.9998199939727783,0.5542687648743317,0.999830241626922,0.5542638689939275,2.9266666666666667
780,2019-06-18 13:00:00,2019-06-18 21:00:00+00:00,586.5,1089.2,97.0,19.566274855997293,227.802224170824,20,0.9817338732579515,0.5475800119404148,0.9998303651809692,0.5385518220300863,0.9998651697245209,0.5385347451559839,2.87
795,2019-06-18 13:15:00,2019-06-18 21:15:00+00:00,639.4,1175.6,191.7,21.8877479713624,234.9892288009946,21,0.9816302656576651,0.5523849916518898,0.9998423457145691,0.543964254497516,0.9998715938581315,0.5439509374875166,2.89
810,2019-06-18 13:30:00,2019-06-18 21:30:00+00:00,87.3,219.6,187.8,24.40526494269804,240.96287551074363,21,0.9816294073943737,0.39860135186201306,0.9998559355735779,0.3975492771955067,0.9999013551523988,0.3975466624160825,2.84
825,2019-06-18 13:45:00,2019-06-18 21:45:00+00:00,575.1,1031.0,123.8,27.061596243449586,246.00360773905214,22,0.981737265949225,0.5669182093777585,0.999871551990509,0.5578710064129196,0.9999517463235295,0.557831638690741,2.833333333333333
840,2019-06-18 14:00:00,2019-06-18 22:00:00+00:00,548.9,989.9,93.3,29.816870501095245,250.33279061515333,22,0.9819619703326083,0.5637103029526764,0.9998893737792969,0.5545560208186597,1.000004201695539,0.5544983443494647,2.7600000000000002
855,2019-06-18 14:15:00,2019-06-18 22:15:00+00:00,547.8,994.1,141.6,32.6430475438449,254.1180781213148,22,0.9823142183856282,0.55953749001108,0.999909520149231,0.5510939625005657,1.0000626929012346,0.5510215775746974,2.7
870,2019-06-18 14:30:00,2019-06-18 22:30:00+00:00,551.8,989.8,148.7,35.52002182671519,257.4849353988302,23,0.9828078346373172,0.5657516218550995,0.9999325275421143,0.5575183267019326,1.0001156536002034,0.5574315772381931,2.663333333333333
885,2019-06-18 14:45:00,2019-06-18 22:45:00+00:00,518.0,916.9,167.9,38.43301791956462,260.52747350624344,23,0.9834605334096806,0.5726845355658692,0.9999586343765259,0.5649661950747049,1.0001840396803252,0.5648621836244728,2.6133333333333333
900,2019-06-18 15:00:00,2019-06-18 23:00:00+00:00,514.4,889.3,148.9,41.370872362241315,263.3169600655815,23,0.984294967686309,0.5860959486831662,0.9999883770942688,0.5784380724236264,1.0002735338712994,0.5783007758203876,2.533333333333333
915,2019-06-18 15:15:00,2019-06-18 23:15:00+00:00,456.7,780.8,69.5,44.32489599279058,265.90808327844513,23,0.9853401854438849,0.5928301120161603,1.000022530555725,0.5849009046968389,1.0003619335411051,0.5847201174527898,2.473333333333333
930,2019-06-18 15:30:00,2019-06-18 23:30:00+00:00,436.2,735.4,66.5,47.28811164813632,268.3434529203153,24,0.9866336808718107,0.6004466024905893,1.0000618696212769,0.5931132094821817,1.0004072603972063,0.5929269471421613,2.453333333333333
945,2019-06-18 15:45:00,2019-06-18 23:45:00+00:00,411.8,681.1,54.6,50.25473205534344,270.6568140972802,24,0.9882243335215449,0.6112308443378555,1.0001072883605957,0.6045505277290584,1.000518071200035,0.6043222055068572,2.3766666666666665
960,2019-06-18 16:00:00,2019-06-19 00:00:00+00:00,387.4,633.1,50.0,53.21979451233288,272.875350189791,24,0.9901767092611744,0.617496438815482,1.0001604557037354,0.6118192341487996,1.0006230376487555,0.6115587187548089,2.2933333333333334
975,2019-06-18 16:15:00,2019-06-19 00:15:00+00:00,360.5,575.5,45.6,56.17889933633671,275.0213472595459,24,0.9925775118040786,0.630722402306925,1.0002230405807495,0.6262831973720024,1.0007811396955006,0.6259615955999106,2.2133333333333334
990,2019-06-18 16:30:00,2019-06-19 00:30:00+00:00,337.8,531.6,48.1,59.128014230728894,277.1134083047968,24,0.9955455402581733,0.6380250838672878,1.0002976655960083,0.6352681929380531,1.0009688029917636,0.6348807591005189,2.15
1005,2019-06-18 16:45:00,2019-06-19 00:45:00+00:00,314.7,478.0,43.8,62.06332166274182,279.1673501068638,25,0.9992475850953412,0.6588184833562378,1.0003881454467773,0.6581361558615271,1.0011510592066164,0.6576805395480466,2.1033333333333335
1020,2019-06-18 17:00:00,2019-06-19 01:00:00+00:00,283.1,423.5,41.5,64.98109265458389,281.19687452036493,25,1.0039248347363472,0.6661187647758854,1.0004992485046387,0.6681760807147852,1.0013945730108964,0.6676371469632617,2.026666666666667
1035,2019-06-18 17:15:00,2019-06-19 01:15:00+00:00,251.6,368.4,38.4,67.87756910416329,283.21407570381746,25,1.0099388706575618,0.6769267027920172,1.0006389617919922,0.6825626401255839,1.0017405542834052,0.6818901572876059,1.9333333333333331
1050,2019-06-18 17:30:00,2019-06-19 01:30:00+00:00,222.9,321.7,36.2,70.74883795032065,285.22982820344794,25,1.0178565376234643,0.6820726311047929,1.000819206237793,0.692378191630982,1.002173973056537,0.6915473353874538,1.8866666666666665
1065,2019-06-18 17:45:00,2019-06-19 01:45:00+00:00,190.6,265.9,32.9,73.59066961392125,287.2540875138294,25,1.0286181571875106,0.6992749647241093,1.001060128211975,0.7161455621487953,1.0027158926843927,0.7151089766734796,1.7766666666666666
1080,2019-06-18 18:00:00,2019-06-19 02:00:00+00:00,156.7,210.9,31.9,76.39825847128303,289.2961231199288,25,1.0439027447269509,0.7163147242099338,1.001397728919983,0.7421257703811133,1.003573572211586,0.7407594066176302,1.6866666666666665
1095,2019-06-18 18:15:00,2019-06-19 02:15:00+00:00,122.6,159.5,30.4,79.16571621247925,291.36469992485956,26,1.0670227209734053,0.7290994949662988,1.0019021034240723,0.7674704624582318,1.0043641262828644,0.7659464520551094,1.8066666666666666
1110,2019-06-18 18:30:00,2019-06-19 02:30:00+00:00,87.1,110.2,28.9,81.88487704129258,293.4682192543683,26,1.1055187539925897,0.7332966142304929,1.002733826637268,0.788790230490627,1.006073810301806,0.7868552654998838,1.7533333333333334
1125,2019-06-18 18:45:00,2019-06-19 02:45:00+00:00,54.3,62.7,22.6,84.54186785890403,295.6148246280381,26,1.180890081938691,0.7762277904960255,1.0043492317199707,0.8636264740451283,1.00936279296875,0.860873790411784,1.7
1140,2019-06-18 19:00:00,2019-06-19 03:00:00+00:00,28.0,14.6,13.2,87.10488403429339,297.81247720047133,26,1.3864730545347628,1.8492757964372049,1.0087268352508545,1.9162047011077483,1.0184995589717742,1.9144121853720957,1.6533333333333333
1155,2019-06-18 19:15:00,2019-06-19 03:15:00+00:00,,7.1,5.6,89.47564080183575,300.06900370694194,26,3.384965040833485,,1.051037311553955,,1.1060708431058404,,1.5766666666666667
